SENSE daac 15 19-04-2019 09:08:42.115 T: 29.07839965820312 [C]; A:[2, 10, 236]; H: 76.550048828125
SENSE daaa 112 19-04-2019 09:08:42.702 T: 28.51679992675781 [C]; A:[14, -16, 246]; H: 75.1920166015625
SENSE daaa 113 19-04-2019 09:08:43.280 T: 28.51679992675781 [C]; A:[12, -18, 244]; H: 75.1614990234375
SENSE daac 16 19-04-2019 09:08:43.056 T: 29.07839965820312 [C]; A:[2, 8, 238]; H: 76.51953125
SENSE daaa 114 19-04-2019 09:08:43.752 T: 28.51679992675781 [C]; A:[20, -22, 242]; H: 75.1614990234375
SENSE daaa 115 19-04-2019 09:08:44.320 T: 28.57919883728027 [C]; A:[16, -18, 246]; H: 75.13861083984375
SENSE daac 17 19-04-2019 09:08:44.092 T: 29.07839965820312 [C]; A:[2, 8, 234]; H: 76.46612548828125
SENSE daaa 116 19-04-2019 09:08:44.798 T: 28.51679992675781 [C]; A:[12, -20, 246]; H: 75.13861083984375
SENSE daaa 117 19-04-2019 09:08:45.375 T: 28.51679992675781 [C]; A:[14, -18, 242]; H: 75.13861083984375
SENSE daac 18 19-04-2019 09:08:45.131 T: 29.07839965820312 [C]; A:[8, 12, 232]; H: 76.40509033203125
SENSE daaa 118 19-04-2019 09:08:45.848 T: 28.57919883728027 [C]; A:[14, -16, 246]; H: 75.10809326171875
SENSE daad 26 19-04-2019 09:08:41.148 T: 27.6431999206543 [C]; A:[44, -30, 200]; H: 81.10479736328125
SENSE daaa 119 19-04-2019 09:08:46.468 T: 28.51679992675781 [C]; A:[12, -22, 254]; H: 75.10809326171875
SENSE daac 19 19-04-2019 09:08:46.176 T: 29.14079856872558 [C]; A:[4, 8, 242]; H: 76.3516845703125
SENSE daaa 120 19-04-2019 09:08:46.953 T: 28.51679992675781 [C]; A:[14, -16, 252]; H: 75.07757568359375
SENSE daaa 121 19-04-2019 09:08:47.535 T: 28.51679992675781 [C]; A:[14, -18, 244]; H: 75.07757568359375
SENSE daac 20 19-04-2019 09:08:47.306 T: 29.14079856872558 [C]; A:[6, 10, 230]; H: 76.29827880859375
