SENSE daaa 84 25-04-2019 06:01:21.219 T: 27.5807991027832 [C]; A:[8, -36, 246]; H: 67.699951171875
SENSE daab 54 25-04-2019 06:01:21.279 T: 27.6431999206543 [C]; A:[-24, 0, 230]; H: 67.5626220703125
SENSE daaa 85 25-04-2019 06:01:21.578 T: 27.5807991027832 [C]; A:[4, -36, 248]; H: 67.699951171875
SENSE daab 55 25-04-2019 06:01:21.777 T: 27.70559883117675 [C]; A:[-16, -8, 230]; H: 67.5626220703125
SENSE daaa 86 25-04-2019 06:01:21.911 T: 27.6431999206543 [C]; A:[2, -34, 252]; H: 67.699951171875
SENSE daad 21 25-04-2019 06:01:21.695 T: 27.5807991027832 [C]; A:[150, -8, 174]; H: 71.1484375
SENSE daaa 87 25-04-2019 06:01:22.284 T: 27.5807991027832 [C]; A:[6, -40, 242]; H: 67.67706298828125
SENSE daab 56 25-04-2019 06:01:22.221 T: 27.70559883117675 [C]; A:[-18, -4, 232]; H: 67.5321044921875
SENSE daaa 88 25-04-2019 06:01:22.618 T: 27.5807991027832 [C]; A:[8, -38, 244]; H: 67.67706298828125
SENSE daab 57 25-04-2019 06:01:22.740 T: 27.70559883117675 [C]; A:[-18, -6, 222]; H: 67.5321044921875
SENSE daad 22 25-04-2019 06:01:22.658 T: 27.51840019226074 [C]; A:[154, -4, 172]; H: 71.04925537109375
SENSE daaa 89 25-04-2019 06:01:22.961 T: 27.6431999206543 [C]; A:[6, -36, 242]; H: 67.64654541015625
SENSE daab 58 25-04-2019 06:01:23.175 T: 27.70559883117675 [C]; A:[-14, -6, 232]; H: 67.5321044921875
SENSE daaa 90 25-04-2019 06:01:23.389 T: 27.6431999206543 [C]; A:[4, -38, 248]; H: 67.64654541015625
SENSE daab 59 25-04-2019 06:01:23.658 T: 27.70559883117675 [C]; A:[-20, -6, 232]; H: 67.5321044921875
SENSE daaa 91 25-04-2019 06:01:23.738 T: 27.6431999206543 [C]; A:[10, -40, 244]; H: 67.64654541015625
SENSE daad 23 25-04-2019 06:01:23.581 T: 27.51840019226074 [C]; A:[150, -6, 178]; H: 70.9805908203125
SENSE daaa 92 25-04-2019 06:01:24.166 T: 27.6431999206543 [C]; A:[4, -38, 242]; H: 67.64654541015625
SENSE daab 60 25-04-2019 06:01:24.103 T: 27.6431999206543 [C]; A:[-20, -4, 228]; H: 67.5321044921875
SENSE daaa 93 25-04-2019 06:01:24.509 T: 27.6431999206543 [C]; A:[4, -42, 246]; H: 67.64654541015625
SENSE daab 61 25-04-2019 06:01:24.618 T: 27.6431999206543 [C]; A:[-18, 0, 214]; H: 67.5321044921875
SENSE daad 24 25-04-2019 06:01:24.534 T: 27.51840019226074 [C]; A:[154, -6, 178]; H: 70.9195556640625
SENSE daaa 94 25-04-2019 06:01:24.843 T: 27.5807991027832 [C]; A:[8, -42, 244]; H: 67.64654541015625
SENSE daab 62 25-04-2019 06:01:25.051 T: 27.70559883117675 [C]; A:[-16, -6, 224]; H: 67.5321044921875
SENSE daaa 95 25-04-2019 06:01:25.266 T: 27.6431999206543 [C]; A:[6, -38, 252]; H: 67.64654541015625
SENSE daaa 96 25-04-2019 06:01:25.609 T: 27.6431999206543 [C]; A:[6, -34, 248]; H: 67.64654541015625
SENSE daab 63 25-04-2019 06:01:25.535 T: 27.70559883117675 [C]; A:[-22, -8, 230]; H: 67.5321044921875
SENSE daad 25 25-04-2019 06:01:25.463 T: 27.51840019226074 [C]; A:[156, -2, 176]; H: 70.8890380859375
SENSE daaa 97 25-04-2019 06:01:25.943 T: 27.5807991027832 [C]; A:[4, -40, 248]; H: 67.64654541015625
SENSE daab 64 25-04-2019 06:01:25.991 T: 27.70559883117675 [C]; A:[-18, -4, 230]; H: 67.5321044921875
SENSE daaa 98 25-04-2019 06:01:26.311 T: 27.6431999206543 [C]; A:[0, -38, 240]; H: 67.64654541015625
SENSE daab 65 25-04-2019 06:01:26.494 T: 27.6431999206543 [C]; A:[-18, -4, 222]; H: 67.5626220703125
SENSE daaa 99 25-04-2019 06:01:26.654 T: 27.5807991027832 [C]; A:[6, -40, 242]; H: 67.64654541015625
SENSE daab 66 25-04-2019 06:01:26.934 T: 27.6431999206543 [C]; A:[-16, -6, 234]; H: 67.5626220703125
SENSE daaa 100 25-04-2019 06:01:27.008 T: 27.6431999206543 [C]; A:[6, -40, 240]; H: 67.64654541015625
SENSE daaa 101 25-04-2019 06:01:27.441 T: 27.6431999206543 [C]; A:[6, -44, 244]; H: 67.67706298828125
SENSE daab 67 25-04-2019 06:01:27.417 T: 27.70559883117675 [C]; A:[-12, -8, 230]; H: 67.5626220703125
SENSE daac 20 25-04-2019 06:01:27.281 T: 30.51359939575195 [C]; A:[0, 0, 234]; H: 64.33538818359375
SENSE daaa 102 25-04-2019 06:01:27.784 T: 27.6431999206543 [C]; A:[6, -40, 240]; H: 67.67706298828125
SENSE daab 68 25-04-2019 06:01:27.863 T: 27.70559883117675 [C]; A:[-16, 0, 232]; H: 67.5626220703125
SENSE daaa 103 25-04-2019 06:01:28.147 T: 27.6431999206543 [C]; A:[4, -38, 244]; H: 67.67706298828125
SENSE daab 69 25-04-2019 06:01:28.361 T: 27.70559883117675 [C]; A:[-16, -6, 230]; H: 67.5626220703125
SENSE daaa 104 25-04-2019 06:01:28.497 T: 27.6431999206543 [C]; A:[2, -36, 242]; H: 67.67706298828125
SENSE daac 21 25-04-2019 06:01:28.222 T: 30.51359939575195 [C]; A:[0, 0, 236]; H: 64.15228271484375
SENSE daaa 105 25-04-2019 06:01:28.879 T: 27.6431999206543 [C]; A:[2, -36, 248]; H: 67.67706298828125
SENSE daab 70 25-04-2019 06:01:28.795 T: 27.6431999206543 [C]; A:[-18, -4, 230]; H: 67.5931396484375
SENSE daaa 106 25-04-2019 06:01:29.213 T: 27.6431999206543 [C]; A:[8, -40, 242]; H: 67.699951171875
SENSE daab 71 25-04-2019 06:01:29.306 T: 27.6431999206543 [C]; A:[-10, -10, 236]; H: 67.5931396484375
SENSE daac 22 25-04-2019 06:01:29.162 T: 30.51359939575195 [C]; A:[0, 0, 236]; H: 63.976806640625
