SENSE daac 31 22-04-2019 11:15:01.925 T: 26.9567985534668 [C]; A:[0, 64, 194]; H: 63.9462890625
SENSE daab 35 22-04-2019 11:14:50.156 T: 28.89119911193847 [C]; A:[0, 0, 176]; H: 59.2618408203125
SENSE daab 36 22-04-2019 11:14:50.624 T: 28.89119911193847 [C]; A:[46, 86, 342]; H: 59.2313232421875
SENSE daac 32 22-04-2019 11:15:03.065 T: 26.9567985534668 [C]; A:[-4, 64, 182]; H: 63.96917724609375
SENSE daab 37 22-04-2019 11:14:51.023 T: 28.89119911193847 [C]; A:[22, 86, 310]; H: 59.2313232421875
SENSE daab 38 22-04-2019 11:14:51.467 T: 28.89119911193847 [C]; A:[-60, -40, 160]; H: 59.2313232421875
SENSE daac 33 22-04-2019 11:15:04.150 T: 26.9567985534668 [C]; A:[0, 66, 192]; H: 64.0225830078125
SENSE daab 39 22-04-2019 11:14:51.866 T: 28.89119911193847 [C]; A:[76, 82, 264]; H: 59.2313232421875
SENSE daab 40 22-04-2019 11:14:52.268 T: 28.89119911193847 [C]; A:[30, 62, 318]; H: 59.2313232421875
SENSE daaa 48 22-04-2019 11:15:01.121 T: 25.58399963378906 [C]; A:[4, -20, 252]; H: 63.64874267578125
SENSE daab 41 22-04-2019 11:14:52.642 T: 28.89119911193847 [C]; A:[30, 62, 318]; H: 59.2313232421875
SENSE daaa 49 22-04-2019 11:15:06.368 T: 25.58399963378906 [C]; A:[8, -26, 244]; H: 63.61822509765625
SENSE daab 42 22-04-2019 11:14:53.211 T: 28.89119911193847 [C]; A:[74, 90, 272]; H: 59.2008056640625
SENSE daad 27 22-04-2019 11:15:01.580 T: 25.70879936218261 [C]; A:[0, 2, 230]; H: 64.343017578125
SENSE daab 43 22-04-2019 11:14:53.657 T: 28.89119911193847 [C]; A:[-52, -24, 206]; H: 59.2008056640625
SENSE daab 44 22-04-2019 11:14:54.100 T: 28.89119911193847 [C]; A:[0, 0, 160]; H: 59.1702880859375
SENSE daad 28 22-04-2019 11:15:07.641 T: 25.70879936218261 [C]; A:[0, 6, 230]; H: 64.343017578125
SENSE daab 45 22-04-2019 11:14:54.511 T: 28.89119911193847 [C]; A:[16, 0, 192]; H: 59.1702880859375
SENSE daab 46 22-04-2019 11:14:54.972 T: 28.89119911193847 [C]; A:[-48, -2, 252]; H: 59.1702880859375
SENSE daad 29 22-04-2019 11:15:08.763 T: 25.70879936218261 [C]; A:[-4, 4, 228]; H: 64.343017578125
SENSE daab 47 22-04-2019 11:14:55.452 T: 28.82879829406738 [C]; A:[62, 90, 318]; H: 59.2008056640625
SENSE daab 48 22-04-2019 11:14:55.901 T: 28.89119911193847 [C]; A:[62, 66, 256]; H: 59.2008056640625
SENSE daad 30 22-04-2019 11:15:09.971 T: 25.70879936218261 [C]; A:[0, 0, 240]; H: 64.343017578125
SENSE daab 49 22-04-2019 11:14:56.300 T: 28.89119911193847 [C]; A:[-44, -32, 160]; H: 59.2008056640625
SENSE daab 50 22-04-2019 11:14:56.694 T: 28.89119911193847 [C]; A:[-52, -28, 198]; H: 59.2008056640625
SENSE daab 51 22-04-2019 11:14:57.079 T: 28.89119911193847 [C]; A:[-62, -32, 160]; H: 59.2008056640625
SENSE daaa 50 22-04-2019 11:15:06.940 T: 25.58399963378906 [C]; A:[4, -26, 244]; H: 63.5953369140625
SENSE daab 52 22-04-2019 11:14:57.461 T: 28.82879829406738 [C]; A:[78, 94, 318]; H: 59.2008056640625
SENSE daaa 51 22-04-2019 11:15:12.455 T: 25.58399963378906 [C]; A:[6, -26, 248]; H: 63.4427490234375
SENSE daab 53 22-04-2019 11:14:57.898 T: 28.82879829406738 [C]; A:[-48, -32, 160]; H: 59.2008056640625
SENSE daaa 52 22-04-2019 11:15:13.033 T: 25.64639854431152 [C]; A:[6, -24, 250]; H: 63.4427490234375
SENSE daab 54 22-04-2019 11:14:58.325 T: 28.89119911193847 [C]; A:[-56, -32, 160]; H: 59.2008056640625
SENSE daaa 53 22-04-2019 11:15:13.605 T: 25.58399963378906 [C]; A:[10, -30, 248]; H: 63.4427490234375
SENSE daab 55 22-04-2019 11:14:58.780 T: 28.89119911193847 [C]; A:[-26, 62, 318]; H: 59.2313232421875
SENSE daab 56 22-04-2019 11:14:59.215 T: 28.82879829406738 [C]; A:[30, 78, 318]; H: 59.2313232421875
SENSE daab 57 22-04-2019 11:14:59.677 T: 28.82879829406738 [C]; A:[-48, -32, 148]; H: 59.2313232421875
SENSE daab 58 22-04-2019 11:15:00.078 T: 28.89119911193847 [C]; A:[78, 94, 326]; H: 59.2313232421875
SENSE daab 59 22-04-2019 11:15:00.526 T: 28.89119911193847 [C]; A:[-60, -40, 160]; H: 59.2313232421875
SENSE daad 31 22-04-2019 11:15:15.991 T: 25.70879936218261 [C]; A:[-8, 0, 230]; H: 64.4193115234375
SENSE daaa 54 22-04-2019 11:15:14.183 T: 25.58399963378906 [C]; A:[10, -30, 256]; H: 63.4427490234375
SENSE daaa 55 22-04-2019 11:15:19.439 T: 25.64639854431152 [C]; A:[4, -28, 240]; H: 63.4122314453125
SENSE daac 34 22-04-2019 11:15:14.812 T: 26.83199882507324 [C]; A:[0, 64, 192]; H: 64.28961181640625
SENSE daaa 56 22-04-2019 11:15:19.902 T: 25.64639854431152 [C]; A:[6, -24, 250]; H: 63.4427490234375
SENSE daac 35 22-04-2019 11:15:20.117 T: 26.83199882507324 [C]; A:[0, 62, 196]; H: 64.49560546875
SENSE daaa 57 22-04-2019 11:15:20.489 T: 25.64639854431152 [C]; A:[6, -26, 250]; H: 63.4732666015625
SENSE daaa 58 22-04-2019 11:15:21.072 T: 25.58399963378906 [C]; A:[4, -26, 242]; H: 63.4732666015625
SENSE daad 32 22-04-2019 11:15:21.226 T: 25.70879936218261 [C]; A:[0, 0, 234]; H: 64.4345703125
SENSE daaa 59 22-04-2019 11:15:21.524 T: 25.64639854431152 [C]; A:[8, -24, 248]; H: 63.5037841796875
SENSE daad 33 22-04-2019 11:15:21.818 T: 25.70879936218261 [C]; A:[0, 6, 240]; H: 64.4345703125
SENSE daaa 60 22-04-2019 11:15:22.101 T: 25.64639854431152 [C]; A:[2, -30, 242]; H: 63.5037841796875
SENSE daad 34 22-04-2019 11:15:22.399 T: 25.70879936218261 [C]; A:[0, 2, 230]; H: 64.4345703125
SENSE daaa 61 22-04-2019 11:15:22.689 T: 25.64639854431152 [C]; A:[8, -32, 248]; H: 63.5343017578125
SENSE daab 60 22-04-2019 11:15:00.920 T: 28.89119911193847 [C]; A:[-48, -40, 152]; H: 59.2313232421875
SENSE daad 35 22-04-2019 11:15:22.980 T: 25.70879936218261 [C]; A:[0, 0, 232]; H: 64.4345703125
SENSE daab 61 22-04-2019 11:15:06.264 T: 28.89119911193847 [C]; A:[30, 86, 342]; H: 59.2923583984375
SENSE daab 62 22-04-2019 11:15:06.711 T: 28.82879829406738 [C]; A:[62, 90, 318]; H: 59.2923583984375
SENSE daad 36 22-04-2019 11:15:23.949 T: 25.77120018005371 [C]; A:[0, 2, 226]; H: 64.4345703125
SENSE daab 63 22-04-2019 11:15:07.111 T: 28.82879829406738 [C]; A:[-48, -32, 160]; H: 59.2923583984375
SENSE daab 64 22-04-2019 11:15:07.561 T: 28.89119911193847 [C]; A:[78, 102, 318]; H: 59.2923583984375
SENSE daad 37 22-04-2019 11:15:25.087 T: 25.77120018005371 [C]; A:[0, 0, 228]; H: 64.45745849609375
SENSE daac 36 22-04-2019 11:15:20.693 T: 26.83199882507324 [C]; A:[0, 64, 192]; H: 64.49560546875
SENSE daac 37 22-04-2019 11:15:26.308 T: 26.83199882507324 [C]; A:[0, 60, 196]; H: 64.526123046875
SENSE daac 38 22-04-2019 11:15:26.818 T: 26.83199882507324 [C]; A:[-8, 64, 198]; H: 64.526123046875
SENSE daac 39 22-04-2019 11:15:27.328 T: 26.89439964294433 [C]; A:[-8, 64, 192]; H: 64.526123046875
SENSE daac 40 22-04-2019 11:15:27.838 T: 26.83199882507324 [C]; A:[2, 62, 198]; H: 64.526123046875
SENSE daaa 62 22-04-2019 11:15:23.266 T: 25.58399963378906 [C]; A:[6, -30, 246]; H: 63.5343017578125
SENSE daac 41 22-04-2019 11:15:28.339 T: 26.83199882507324 [C]; A:[0, 62, 200]; H: 64.526123046875
SENSE daaa 63 22-04-2019 11:15:28.722 T: 25.64639854431152 [C]; A:[2, -26, 246]; H: 63.67926025390625
SENSE daac 42 22-04-2019 11:15:28.914 T: 26.89439964294433 [C]; A:[0, 64, 192]; H: 64.49560546875
SENSE daaa 64 22-04-2019 11:15:29.291 T: 25.64639854431152 [C]; A:[6, -32, 250]; H: 63.67926025390625
SENSE daad 38 22-04-2019 11:15:30.312 T: 25.77120018005371 [C]; A:[0, 2, 230]; H: 64.4345703125
SENSE daad 39 22-04-2019 11:15:30.888 T: 25.70879936218261 [C]; A:[-4, 4, 228]; H: 64.4345703125
SENSE daad 40 22-04-2019 11:15:31.479 T: 25.77120018005371 [C]; A:[0, 4, 228]; H: 64.4345703125
SENSE daab 65 22-04-2019 11:15:07.958 T: 28.89119911193847 [C]; A:[62, 64, 224]; H: 59.2618408203125
