SENSE daad 44 19-04-2019 11:40:40.109 T: 31.38719940185546 [C]; A:[42, 10, 228]; H: 71.47650146484375
SENSE daaa 39 19-04-2019 11:40:40.387 T: 29.82719993591308 [C]; A:[80, -64, 228]; H: 72.4912109375
SENSE daad 45 19-04-2019 11:40:40.692 T: 31.32479858398437 [C]; A:[48, 10, 230]; H: 71.5146484375
SENSE daaa 40 19-04-2019 11:40:40.984 T: 29.82719993591308 [C]; A:[82, -68, 226]; H: 72.49884033203125
SENSE daad 46 19-04-2019 11:40:41.274 T: 31.38719940185546 [C]; A:[46, 6, 232]; H: 71.484130859375
SENSE daab 84 19-04-2019 11:40:31.535 T: 31.01279830932617 [C]; A:[-26, 6, 222]; H: 71.8045654296875
SENSE daab 85 19-04-2019 11:40:42.070 T: 31.07519912719726 [C]; A:[-30, 14, 220]; H: 71.64434814453125
SENSE daad 47 19-04-2019 11:40:41.846 T: 31.38719940185546 [C]; A:[44, 10, 234]; H: 71.45361328125
SENSE daab 86 19-04-2019 11:40:42.541 T: 31.01279830932617 [C]; A:[-34, 8, 216]; H: 71.64434814453125
SENSE daab 87 19-04-2019 11:40:43.107 T: 31.01279830932617 [C]; A:[-28, 4, 216]; H: 71.61383056640625
SENSE daad 48 19-04-2019 11:40:42.952 T: 31.38719940185546 [C]; A:[46, 14, 232]; H: 71.45361328125
